Simulation Name	Brief Description	Fuller Description	Owner	Model Descriptors	Total Length of Run (in years)	Averaging period (in years)	Spinup period (in years)	Coastline name and code numner	CO2 (in ppmv)	CH4 (in ppbv)	N2O (in ppbv)	CFC11 (in pptv)	CFC12 (in pptv)	Computer used for simulation	Compiler used for simulation	Date of first entry in database	Date of most recent modification to entry in database
teXyw	370_0_MaBP	This is the 370.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fame, 465	926.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyv	365_6_MaBP	This is the 365.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fame, 464	880.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyu	358_9_MaBP	This is the 358.9 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fame, 463	809.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyt	354_0_MaBP	This is the 354.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Tour, 462	758.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXys	349_0_MaBP	This is the 349.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Tour, 461	705.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyr	344_0_MaBP	This is the 344.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Vise, 460	653.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyq	338_8_MaBP	This is the 338.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Vise, 459	600.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyp	333_0_MaBP	This is the 333.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Vise, 458	586.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyo	330_9_MaBP	This is the 330.9 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Serp, 457	581.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyn	327_0_MaBP	This is the 327.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Serp, 456	571.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXym	319_2_MaBP	This is the 319.2 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Bash, 455	553.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyl	314_6_MaBP	This is the 314.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Bash, 454	542.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXyk	311_1_MaBP	This is the 311.1 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Mosc, 453	534.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
