Simulation Name	Brief Description	Fuller Description	Owner	Model Descriptors	Total Length of Run (in years)	Averaging period (in years)	Spinup period (in years)	Coastline name and code numner	CO2 (in ppmv)	CH4 (in ppbv)	N2O (in ppbv)	CFC11 (in pptv)	CFC12 (in pptv)	Computer used for simulation	Compiler used for simulation	Date of first entry in database	Date of most recent modification to entry in database
texys	091_9_MaBP	This is the 91.9 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Turo, 409	839.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyr	086_7_MaBP	This is the 86.7 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sant, 408	775.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyq	080_8_MaBP	This is the 80.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Camp, 407	704.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyp	075_0_MaBP	This is the 75.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Camp, 406	633.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyo	069_0_MaBP	This is the 69.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Maas, 405	560.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyn	066_0_MaBP	This is the 66.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Dani, 404	576.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texym	060_6_MaBP	This is the 60.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sele, 403	604.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyl	055_8_MaBP	This is the 55.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Than, 402	630.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyk	052_2_MaBP	This is the 52.2 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Ypre, 401	649.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyj	044_5_MaBP	This is the 44.5 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Lute, 400	594.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyi	039_5_MaBP	This is the 39.5 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Bart, 399	557.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyh	035_9_MaBP	This is the 35.9 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Pria, 398	533.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyg	031_0_MaBP	This is the 31.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Rupe, 397	500.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyf	025_6_MaBP	This is the 25.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Chat, 396	439.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texye	019_5_MaBP	This is the 19.5 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Burd, 395	430.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyd	014_9_MaBP	This is the 14.9 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Lang, 394	423.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyc	010_5_MaBP	This is the 10.5 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Tort, 393	410.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texyb	004_0_MaBP	This is the 4.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Zanc, 392	384.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texya	000_0_MaBP	This is the 0.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Pres, 391	280.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
texqe	541_0_MaBP	This is the 541.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fort, 499	3374.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texqd	535_0_MaBP	This is the 535.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fort, 498	3290.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texqc	530_0_MaBP	This is the 530.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fort, 497	3220.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texqb	525_0_MaBP	This is the 525.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sta2, 496	3150.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texqa	520_0_MaBP	This is the 520.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sta3, 495	3080.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPz	515_0_MaBP	This is the 515.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sta3, 494	3010.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPy	510_0_MaBP	This is the 510.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sta4, 493	2940.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPx	505_0_MaBP	This is the 505.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Wuli, 492	2870.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPw	498_8_MaBP	This is the 498.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Guzh, 491	2776.39	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPv	495_5_MaBP	This is the 495.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Paib, 490	2711.48	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPu	491_8_MaBP	This is the 491.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Jian, 489	2638.69	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPt	485_4_MaBP	This is the 485.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Stag, 488	2512.79	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPs	481_6_MaBP	This is the 481.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Trem, 487	2438.03	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPr	475_0_MaBP	This is the 475.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Floi, 486	2308.20	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPq	470_0_MaBP	This is the 470.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Dapi, 485	2209.84	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPp	465_0_MaBP	This is the 465.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Darr, 484	2111.48	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPo	460_0_MaBP	This is the 460.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Darr, 483	2013.11	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPn	455_7_MaBP	This is the 455.7 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sand, 482	1928.52	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPm	449_1_MaBP	This is the 449.1 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Kati, 481	1798.69	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPl	444_5_MaBP	This is the 444.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Hirn, 480	1708.20	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPk	441_2_MaBP	This is the 441.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Aero, 479	1643.28	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPj	436_0_MaBP	This is the 436.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Tely, 478	1575.99	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPi	430_4_MaBP	This is the 430.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Home, 477	1531.16	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPh	425_2_MaBP	This is the 425.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Ludf, 476	1489.54	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPg	421_1_MaBP	This is the 421.1 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Prod, 475	1456.72	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPf	415_0_MaBP	This is the 415.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Loch, 474	1579.21	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPe	410_0_MaBP	This is the 410.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Prag, 473	2102.11	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPd	405_0_MaBP	This is the 405.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Emsi, 472	1689.11	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPc	400_0_MaBP	This is the 400.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Emsi, 471	1731.00	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPb	395_0_MaBP	This is the 395.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Emsi, 470	1296.84	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXPa	390_5_MaBP	This is the 390.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Eife, 469	1093.36	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpz	385_2_MaBP	This is the 385.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Give, 468	1377.28	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpy	380_0_MaBP	This is the 380.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fras, 467	1269.38	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpx	375_0_MaBP	This is the 375.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fras, 466	1052.02	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpw	370_0_MaBP	This is the 370.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fame, 465	810.78	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpv	365_6_MaBP	This is the 365.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fame, 464	805.89	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpu	358_9_MaBP	This is the 358.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Fame, 463	587.20	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpt	354_0_MaBP	This is the 354.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Tour, 462	588.87	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXps	349_0_MaBP	This is the 349.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Tour, 461	644.64	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpr	344_0_MaBP	This is the 344.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Vise, 460	564.74	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpq	338_8_MaBP	This is the 338.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Vise, 459	232.91	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpp	333_0_MaBP	This is the 333.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Vise, 458	262.84	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpo	330_9_MaBP	This is the 330.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Serp, 457	296.31	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpn	327_0_MaBP	This is the 327.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Serp, 456	316.52	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpm	319_2_MaBP	This is the 319.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Bash, 455	328.44	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpl	314_6_MaBP	This is the 314.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Bash, 454	327.16	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpk	311_1_MaBP	This is the 311.1 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Mosc, 453	338.13	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpj	305_4_MaBP	This is the 305.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Kasi, 452	358.05	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpi	301_3_MaBP	This is the 301.3 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Gzhe, 451	392.99	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXph	297_0_MaBP	This is the 297.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Asse, 450	444.70	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpg	292_6_MaBP	This is the 292.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Sakm, 449	495.35	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpf	286_8_MaBP	This is the 286.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Arti, 448	625.67	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpe	280_0_MaBP	This is the 280.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Kung, 447	690.31	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpd	275_0_MaBP	This is the 275.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Kung, 446	555.97	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpc	268_7_MaBP	This is the 268.7 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Word, 445	310.63	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpb	265_1_MaBP	This is the 265.1 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Capi, 444	320.82	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
teXpa	262_5_MaBP	This is the 262.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Capi, 443	352.02	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPz	256_0_MaBP	This is the 256.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Wuch, 442	810.90	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPy	252_0_MaBP	This is the 252.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Indu, 441	878.74	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPx	244_6_MaBP	This is the 244.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	2000	100	1900	Anis, 440	418.58	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPw2	239_5_MaBP	This is the 239.5 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Ladi, 439	1033.59	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPv1	233_6_MaBP	This is the 233.6 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Carn, 438	1491.97	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPu1	232_0_MaBP	This is the 232.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Carn, 437	1613.52	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPt1	227_0_MaBP	This is the 227.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Nori, 436	2059.04	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPs1	222_4_MaBP	This is the 222.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Nori, 435	1810.40	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPr1	217_8_MaBP	This is the 217.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Nori, 434	1481.01	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPq1	213_2_MaBP	This is the 213.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Nori, 433	1223.32	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPp1	204_9_MaBP	This is the 204.9 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Rhae, 432	1503.18	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPo1	201_3_MaBP	This is the 201.3 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Hett, 431	1728.90	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPn1	196_0_MaBP	This is the 196.0 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Sine, 430	1783.74	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPm1	190_8_MaBP	This is the 190.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Sine, 429	1180.68	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPl1	186_8_MaBP	This is the 186.8 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Plie, 428	948.81	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPk1	178_4_MaBP	This is the 178.4 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Toar, 427	986.22	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPj1	172_2_MaBP	This is the 172.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Aale, 426	1046.43	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
texPi1	168_2_MaBP	This is the 168.2 Ma simulation using the Scotese palaeogeographies.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	3000	100	2900	Bath, 425	1018.89	760	270	0	0	bc4	Intel_v17_0.1_bc4	2018_12_14_10_49	2018_12_16_21_13
